"","X.1","X","Biome_type","Country","Site","Latitude","Longitude","Citation","Species","Species_Group","Time_period","Start_year","End_year","Start_cover","End_cover","Total_cover_change","Annual.rate","Method","Plot.ID","Continent","Trend","Biome_trend","tempc","precip","Absolute_change","lat_cat","long_cat","geo.coords"
"44",44,52,"Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Vaccinium uliginosum","Species",20,1987,2007,"1","3",2,0.1,"Ecological monitoring","t44","Europe","Increase","Tundra_increase",-4.6,679,0.1,60,10,"_ 60 _ 10 _"
"45",45,53,"Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Betula nana","Species",20,1987,2007,"4","2",-2,-0.1,"Ecological monitoring","t45","Europe","Decrease","Tundra_decrease",-4.6,679,0.1,60,10,"_ 60 _ 10 _"
"46",46,54,"Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Empetrum hermaphroditum","Species",20,1987,2007,"1","1.5",0.5,0.025,"Ecological monitoring","t46","Europe","Increase","Tundra_increase",-4.6,679,0.025,60,10,"_ 60 _ 10 _"
"47",47,55,"Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Salix herbacea","Species",20,1987,2007,"6","7.5",1.5,0.075,"Ecological monitoring","t47","Europe","Increase","Tundra_increase",-4.6,679,0.075,60,10,"_ 60 _ 10 _"
"48",48,56,"Tundra","USA","Colville, Alaska",68.95,-155.96,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",33,1975,2008,"24.56","33.12",8.56,0.259393939,"Repeat photography","t48","North America","Increase","Tundra_increase",-10.1,237,0.259393939,60,-160,"_ 60 _ -160 _"
"49",49,58,"Tundra","Canada","Deception Bay, Nunavik, Quebec",62.14,-74.7,"Plante et al. 2014","Tall shrub: Betula glandulosa Michx., Salix glauca L., S. planifolia, Pursh and S. alaxensis, and prostrate shrubs such as Vaccinium uliginosum L., V. vitis-idaea L., and Cassiope tetragona","Group",38,1972,2010,"7.3","6.1",-1.2,-0.031578947,"Repeat photography","t49","North America","Decrease","Tundra_decrease",-7.7,320,0.031578947,60,-80,"_ 60 _ -80 _"
"50",50,59,"Tundra","Russia","Dudinka, Russian Arctic",69.61,86.53,"Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",43,1966,2009,"25.02","31.5",6.48,0.150697674,"Repeat photography, satellite imagery","t50","Asia","Increase","Tundra_increase",-9,496,0.150697674,60,80,"_ 60 _ 80 _"
"51",51,60,"Tundra","Switzerland","European Alps, Multiple sites",46.77,9.87,"Cannone et al. 2007","Shrubs","Group",50,1953,2003,NA,NA,9.4,0.188,"Ecological monitoring","t51","Europe","Increase","Tundra_increase",1.2,946,0.188,40,0,"_ 40 _ 0 _"
"52",52,61,"Tundra","Russia","Hatanga, Russian Arctic",72.16,102.68,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",43,1966,2009,"5.5","5.79",0.29,0.006744186,"Repeat photography, satellite imagery","t52","Asia","Stable","Tundra_stable",-11.9,263,0.006744186,70,100,"_ 70 _ 100 _"
"53",53,64,"Tundra","Canada","Kangiqsualujjuaq, Northern Québec",58.71,-66,"Tremblay et al. 2012","Betula glandulosa","Species",39,1964,2003,"34","44",10,0.256410256,"Repeat photography","t53","North America","Increase","Tundra_increase",-4.7,657,0.256410256,50,-70,"_ 50 _ -70 _"
"54",54,65,"Tundra","USA","Kenai Peninsula, Southcentral Alaska",60.56,-151.24,"Dial et al. 2007","Alnus spp.","Species",45,1951,1996,"28","33",5,0.111111111,"Repeat photography","t54","North America","Increase","Tundra_increase",3.8,525,0.111111111,60,-160,"_ 60 _ -160 _"
"55",55,66,"Tundra","Russia","Kharp, Russian Arctic",66.84,65.99,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",42,1968,2010,"11.5","12.43",0.93,0.022142857,"Repeat photography, satellite imagery","t55","Asia","Increase","Tundra_increase",-6.5,690,0.022142857,60,60,"_ 60 _ 60 _"
"56",56,67,"Tundra","USA","Killik, Alaska",68.37,-154.02,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"14.11","20.61",6.5,0.203125,"Repeat photography","t56","North America","Increase","Tundra_increase",-9.6,212,0.203125,60,-160,"_ 60 _ -160 _"
"57",57,69,"Tundra","Canada","Kluane Region (Pika valley), Yukon",61.11,-138.16,"Myers-Smith and Hik 2017","Salix pulchra, Salix richardsonii, Salix glauca, Salix niphoclada, Salix alaxsensis, Salix barrattiana","Group",30,2009,2013,NA,NA,NA,0.5,"Dendroecology","t57","North America","Increase","Tundra_increase",-4.2,283,0.5,60,-140,"_ 60 _ -140 _"
"58",58,70,"Tundra","Russia","Kolyma, Russian Arctic",68.93,161.36,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",38,1965,2003,"6.75","7.52",0.77,0.020263158,"Repeat photography, satellite imagery","t58","Asia","Increase","Tundra_increase",-11.3,203,0.020263158,60,160,"_ 60 _ 160 _"
"59",59,71,"Tundra","USA","Kurupa, Alaska",68.93,-155.08,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"17.3","32.01",14.71,0.4596875,"Repeat photography","t59","North America","Increase","Tundra_increase",-9.9,205,0.4596875,60,-160,"_ 60 _ -160 _"
"60",60,74,"Tundra","Canada","Mackenzie Delta Region, NWT ",68.75,-133.75,"Lantz et al. 2009, Lantz et al. 2010","Alnus viridis subsp. fruticosa","Species",32,1972,2004,NA,NA,NA,1.1,"Repeat photography","t60","North America","Increase","Tundra_increase",-9,220,1.1,60,-140,"_ 60 _ -140 _"
"61",61,75,"Tundra","Canada","Nakvak Brook, Torngat Mt. NP, Nunatsiavut",58.63,-63.35,"Upshall 2011","deciduous shrubs","Group",23,1985,2008,"7.14","8.02",0.88,0.03826087,"Repeat photography","t61","North America","Increase","Tundra_increase",-7.1,827,0.03826087,50,-70,"_ 50 _ -70 _"
"62",62,76,"Tundra","USA","Nanushuk 1, Alaska",69.15,-150.88,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",54,1955,2009,"30.66","46.32",15.66,0.29,"Repeat photography","t62","North America","Increase","Tundra_increase",-9.1,182,0.29,60,-160,"_ 60 _ -160 _"
"63",63,77,"Tundra","USA","Nanushuk 2, Alaska",69.12,-150.86,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",54,1955,2009,"33.9","60.85",26.95,0.499074074,"Repeat photography","t63","North America","Increase","Tundra_increase",-9.2,196,0.499074074,60,-160,"_ 60 _ -160 _"
"64",64,79,"Tundra","USA","Nigu, Alaska",68.43,-156.42,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",31,1977,2008,"25.45","31.18",5.73,0.18483871,"Repeat photography","t64","North America","Increase","Tundra_increase",-10.1,280,0.18483871,60,-160,"_ 60 _ -160 _"
"65",65,80,"Tundra","USA","Nimiuktuk, Alaska",68.39,-159.85,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"27.35","34.76",7.41,0.2315625,"Repeat photography","t65","North America","Increase","Tundra_increase",-9.2,216,0.2315625,60,-160,"_ 60 _ -160 _"
"66",66,81,"Tundra","USA","Niwot Ridge, Colorado",40.05,-105.58,"Formica et al. 2014","tall willows: Salix planifolia and Salix glauca","Group",62,1946,2008,"0.24","1.29",1.05,0.016935484,"Repeat photography","t66","North America","Increase","Tundra_increase",-1.4,501,0.016935484,40,-110,"_ 40 _ -110 _"
"67",67,83,"Tundra","Russia","Obskaya, Russian Arctic",66.92,65.59,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",43,1968,2011,"8.22","9.93",1.71,0.039767442,"Repeat photography, satellite imagery","t67","Asia","Increase","Tundra_increase",-10.6,926,0.039767442,60,60,"_ 60 _ 60 _"
"68",68,85,"Tundra","Russia","Pekulney, Russian Arctic",65.39,174.2,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",41,1969,2010,"16.87","17.9",1.03,0.025121951,"Repeat photography, satellite imagery","t68","Asia","Increase","Tundra_increase",-7.9,321,0.025121951,60,170,"_ 60 _ 170 _"
"69",69,86,"Tundra","Canada","Qikiqtaruk-Herschel Island, Yukon",69.57,-138.91,"Myers-Smith et al. 2011","Salix richardsonii","Species",59,1950,2009,"0","22",22,0.372881356,"Repeat photograph, dendroecology, ecological monitoring","t69","North America","Increase","Tundra_increase",-9.4,165,0.372881356,60,-140,"_ 60 _ -140 _"
"70",70,87,"Tundra","Canada","Qikiqtaruk-Herschel Island, Yukon",69.57,-138.91,"Myers-Smith et al. 2011","Salix pulchra","Species",89,1920,2009,"0","30",30,0.337078652,"Repeat photograph, dendroecology, ecological monitoring","t70","North America","Increase","Tundra_increase",-9.4,165,0.337078652,60,-140,"_ 60 _ -140 _"
"71",71,88,"Tundra","Canada","Qikiqtaruk-Herschel Island, Yukon",69.57,-138.91,"Myers-Smith et al. 2011","Salix glauca","Species",59,1950,2009,"0","25",25,0.423728814,"Repeat photograph, dendroecology, ecological monitoring","t71","North America","Increase","Tundra_increase",-9.4,165,0.423728814,60,-140,"_ 60 _ -140 _"
"72",72,90,"Tundra","USA","Seward Peninsula, Alaska",64.85,-163.7,"Joly et al. 2007","Dwarf shrubs","Group",24,1981,2005,"24.8","32.8",8,0.333333333,"Ecological monitoring","t72","North America","Increase","Tundra_increase",-3.9,455,0.333333333,60,-170,"_ 60 _ -170 _"
"73",73,91,"Tundra","Canada","Site 1, Arctic NWT",69.03,-133.37,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"58.2","72.4",14.2,0.44375,"Repeat photography","t73","North America","Increase","Tundra_increase",-9.4,190,0.44375,60,-140,"_ 60 _ -140 _"
"74",74,92,"Tundra","Canada","Site 10, Arctic NWT",68.65,-133.73,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"18.7","38.7",20,0.625,"Repeat photography","t74","North America","Increase","Tundra_increase",-8.9,211,0.625,60,-140,"_ 60 _ -140 _"
"75",75,93,"Tundra","Canada","Site 11, Arctic NWT",68.68,-133.7,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"16.5","28.4",11.9,0.371875,"Repeat photography","t75","North America","Increase","Tundra_increase",-9.3,243,0.371875,60,-140,"_ 60 _ -140 _"
"76",76,94,"Tundra","Canada","Site 2, Arctic NWT",69.07,-133.4,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"68.7","83.9",15.2,0.475,"Repeat photography","t76","North America","Increase","Tundra_increase",-9.4,186,0.475,60,-140,"_ 60 _ -140 _"
"77",77,95,"Tundra","Canada","Site 3, Arctic NWT",69.05,-133.36,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"56.3","65.6",9.3,0.290625,"Repeat photography","t77","North America","Increase","Tundra_increase",-9.4,185,0.290625,60,-140,"_ 60 _ -140 _"
"78",78,96,"Tundra","Canada","Site 4, Arctic NWT",69.03,-133.43,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"71.4","94.3",22.9,0.715625,"Repeat photography","t78","North America","Increase","Tundra_increase",-9.4,192,0.715625,60,-140,"_ 60 _ -140 _"
"79",79,97,"Tundra","Canada","Site 5, Arctic NWT",69.01,-133.5,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"58.7","80.6",21.9,0.684375,"Repeat photography","t79","North America","Increase","Tundra_increase",-9.4,196,0.684375,60,-140,"_ 60 _ -140 _"
"80",80,98,"Tundra","Canada","Site 6, Arctic NWT",68.6,-133.64,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"74.7","89.4",14.7,0.459375,"Repeat photography","t80","North America","Increase","Tundra_increase",-8.8,235,0.459375,60,-140,"_ 60 _ -140 _"
