Biome_type,Country,Site,Subsite,Latitude,Longitude,Citation,Species,Species_Group,Time_period,Sample Size,Start_year,End_year,Beginning of recruitment period,Approximate Peak recruitment,Start_cover,End_cover,Total_cover_change,Annual.rate,Shrub_change_sum,Shrub_change,Evidence,Method,Cause1,Cause2,Cause3,Cause4,Is there ranking?,Notes
Tundra,USA,"Arctic Alaska, Anaktuvuk R. (N)",,69.03,-151.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,15,18,3,0.055555556,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Ayiyak",,68.9,-152.5,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,7,8,1,0.018518519,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Chandler",,68.95,-151.9,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,28,38,10,0.185185185,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Colville R (W)",,68.87,-156.7,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,5,9,4,0.074074074,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Colville R",,68.95,-155.93,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,18,23,5,0.092592593,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Colville R €",,69.33,-152.35,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,22,28,6,0.111111111,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Kurupa",,68.9,-155.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,10,15,5,0.092592593,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Lupine",,69.08,-148.8,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,6.7,6.9,0.2,0.003703704,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Nanushuk R (S)",,68.7,-150.6,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,22,26,4,0.074074074,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Nanushuk R (N)",,69.1,-150.8,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,17,20,3,0.055555556,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Nigu",,68.4,-156.4,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,8,9,1,0.018518519,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Nimiuktuk",,68.2,-159.9,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,13,18,5,0.092592593,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Oolamnagavik",,68.8,-154.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,8,13,5,0.092592593,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,Cover was only measured at the plot level at this lake - only one record but not quantitative
Tundra,USA,"Arctic Alaska, Sagavanirktok",,69.4,-148.6,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,8,13,5,0.092592593,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic Alaska, Utukok",,69,-161.06,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,NA,NA,0,0,stable,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
Tundra,USA,"Arctic National Wildlife Refuge, Alaska",,69.8,-144.25,Pattison et al. 2015,deciduous shrubs,Group,25,27,1984,2009,unknown,unknown,45,45,0,0,stable,no change,cover,Ecological monitoring,warming summer temperatures,,,,No,"Surface NDVI and cover measures at the plot level made in 2009. Deciduous and evergreen shrubs were measured in six different habitats, but in none of them there is a clear change. I have included the values of cover for deciduous shrubs in the riparian ecosystem, but it doesn't really matter since there are no overall trends (net change is zero) and there are no coordinates for all the sites"
Tundra,USA,"Arctic National Wildlife Refuge, Alaska",,69.8,-144.25,Pattison et al. 2015,evergreen shrubs,Group,25,27,1984,2009,unknown,unknown,45,45,0,0,stable,no change,cover,Ecological monitoring,warming summer temperatures,,,,No,"Surface NDVI and cover measures at the plot level made in 2009. Deciduous and evergreen shrubs were measured in six different habitats, but in none of them there is a clear change. I have included the values of cover for deciduous shrubs in the riparian ecosystem, but it doesn't really matter since there are no overall trends (net change is zero) and there are no coordinates for all the sites"
Tundra,USA,"Arctic National Wildlife Refuge, Alaska",,69.8,-144.25,Jorgenson et al. 2015,deciduous shrubs,Group,25,27,1984,2009,unknown,unknown,19,16,-3,-0.12,decrease,Slight decrease of deciduous shrub functional group,cover,Ecological monitoring,"Variations in trends could be attributable to site-specific factors like hydrology, season length and herbivory. However there is no trend here so no attribution is actually made",,,,No,"Surface NDVI and cover measures at the plot level made in 2009. Deciduous and evergreen shrubs were measured in six different habitats, but in none of them there is a clear change. I have included the values of cover for deciduous shrubs in the riparian ecosystem, but it doesn't really matter since there are no overall trends (net change is zero) and there are no coordinates for all the sites"
Tundra,USA,"Arctic National Wildlife Refuge, Alaska",,69.8,-144.25,Jorgenson et al. 2015,evergreen shrubs,Group,25,27,1984,2009,unknown,unknown,19,19,0,0,stable,stable,cover,Ecological monitoring,"Variations in trends could be attributable to site-specific factors like hydrology, season length and herbivory. However there is no trend here so no attribution is actually made",,,,No,"Surface NDVI and cover measures at the plot level made in 2009. Deciduous and evergreen shrubs were measured in six different habitats, but in none of them there is a clear change. I have included the values of cover for deciduous shrubs in the riparian ecosystem, but it doesn't really matter since there are no overall trends (net change is zero) and there are no coordinates for all the sites"
Tundra,Canada,"Arctic, NWT, Tuktoyatkut Coastal Plain",,69.25,-132.5,Fraser et al. 2014,tall shrubs and erect dwarf shrubs,Group,33,,1980,2013,unknown,unknown,NA,NA,20,0.606060606,increase,increased canopy cover of erect dwarf and tall shrubs,cover,Repeat photography,warming air and ground temperatures,reduction in summer sea ice extent,"exploratory gas wells, fires, and lakes that drained",,No,The average cover of vascular plants increased by 20% (which includes graminoids).
Tundra,Greenland,"Arsuk Fjord, Greenland",,61.18,-48.45,"Jørgensen, Meilby & Kollmann 2013","Salix glauca, Betula sp., Alnus viridis subsp. crispa, Juniperus communis",Group,112,,1898,2010,unknown,1960s – 2010,NA,NA,NA,NA,increase,increase,cover,Repeat photography,changes in land use intensity,warming temperatures,,,Yes,The historical photos were taken in the period 1898–1974 therefore the timeline (nubmer of years) and earlier record are approximate since each photo pairing has a different early date. The majority of the photo pairs have an interval of 40 - 45 years. An overall increase in shrub cover occurred in the past 50 years. Shrub cover increased even in areas with no significant disturbance. 
Tundra,USA,"Ayiyak, Alaska",,68.91,-152.47,Naito and Cairns 2014,"tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)",Group,32,9,1977,2009,unknown,unknown,27.13,38.34,11.21,0.3503125,increase,"41.32% increase in shrub cover (this is relative change, total cover change is included in column O)",cover,Repeat photography,warming temperatures,,,,No,
Tundra,USA,"Barrow, Alaska",Average all plots,71.3,-156.67,Villarreal et al. 2012,Salix pulchra,Species,38,30,1972,2010,unknown,unknown,NA,NA,1.4,0.036842105,increase,"Shrub cover increased slightly in CAG tundra (0–3.7%), but overall across plots there is no general trend and the cover remains stable. ",cover,Ecological monitoring,Shrub cover is likely not to be affected by herbivory due to the absence of these functional groups in the diets of lemmings,,,,No,"Re. individual species: Salix pulchra has increased while there have been decreases in the cover of the prostrate evergreen shrub Cassiope tetragona and decidious shrub Salix rotundifolia. Overall, the decreased cover of C. tetragona and S. rotundifolia is cancelled out the increase in S. pulchra, which resulted in no change in shrub cover when analyzed as a functional group. Importance of detecting indiv species responses to warmign."
Tundra,USA,"Barrow, Alaska",Average all plots,71.3,-156.67,Villarreal et al. 2012,Salix rotundifolia,Species,38,30,1972,2010,unknown,unknown,NA,NA,-1,-0.026315789,decrease,"Shrub cover increased slightly in CAG tundra (0–3.7%), but overall across plots there is no general trend and the cover remains stable. ",cover,Ecological monitoring,Shrub cover is likely not to be affected by herbivory due to the absence of these functional groups in the diets of lemmings,,,,No,"Re. individual species: Salix pulchra has increased while there have been decreases in the cover of the prostrate evergreen shrub Cassiope tetragona and decidious shrub Salix rotundifolia. Overall, the decreased cover of C. tetragona and S. rotundifolia is cancelled out the increase in S. pulchra, which resulted in no change in shrub cover when analyzed as a functional group. Importance of detecting indiv species responses to warmign."
Tundra,USA,"Barrow, Alaska",Average all plots,71.3,-156.67,Villarreal et al. 2012,Cassiope tetragona,Species,38,30,1972,2010,unknown,unknown,NA,NA,-0.6,-0.015789474,decrease,"Shrub cover increased slightly in CAG tundra (0–3.7%), but overall across plots there is no general trend and the cover remains stable. ",cover,Ecological monitoring,Shrub cover is likely not to be affected by herbivory due to the absence of these functional groups in the diets of lemmings,,,,No,"Re. individual species: Salix pulchra has increased while there have been decreases in the cover of the prostrate evergreen shrub Cassiope tetragona and decidious shrub Salix rotundifolia. Overall, the decreased cover of C. tetragona and S. rotundifolia is cancelled out the increase in S. pulchra, which resulted in no change in shrub cover when analyzed as a functional group. Importance of detecting indiv species responses to warmign."
Tundra,USA,"Barrow, Alaska",,71.3,-156.67,Villarreal et al. 2012,"shrub functional group (Salix pulchra, Salix rotundifolia, Cassiope tetragona, etc.)",Group,38,30,1972,2010,unknown,unknown,NA,NA,0,0,stable,"Shrub cover increased slightly in CAG tundra (0–3.7%), but overall across plots there is no general trend and the cover remains stable. ",cover,Ecological monitoring,Shrub cover is likely not to be affected by herbivory due to the absence of these functional groups in the diets of lemmings,,,,No,"Re. individual species: Salix pulchra has increased while there have been decreases in the cover of the prostrate evergreen shrub Cassiope tetragona and decidious shrub Salix rotundifolia. Overall, the decreased cover of C. tetragona and S. rotundifolia is cancelled out the increase in S. pulchra, which resulted in no change in shrub cover when analyzed as a functional group. Importance of detecting indiv species responses to warmign."
Tundra,Canada,"Boniface River research station, Nunavik, Quebec, Canada",Average terraces and hilltops,57.75,-76.33,Ropars & Boudreau 2012,Betula glandulosa,Species,51,,1957,2008,Unknown,Between 1957 and 2008,31.95,48.55,16.6,0.325490196,increase,Increase,cover,"Repeat photography, satellite imagery",temperature increases,,,,No,"both hilltops and terraces recorded an increase in shrub cover. However, the increase was significantly greater on terraces than on hilltops (21.6% versus 11.6%).  As causes they also mention herbivory and wildfires but they conclude that they didnt have an effect on this particular site, only temperature. "
Tundra,Canada,"Boniface River research station, Nunavik, Quebec, Canada",,57.75,-76.33,Ropars et al. 2015,Betula glandulosa,Species,78,180,1931,2009,Unknown,1990s,NA,NA,NA,NA,increase,"Increase in growth. We found a sharp increase in B. glandulosa radial growth in the 1990s followed by a sharp decreasing trend from 2002 on terraces and hilltops, while growth remained high in snowbeds",growth,Dendroecology,summer temperatures,winter precipitation,,,No,"There are several chronologies for each site, the maximum being 1931-2009 and the minimum being 1962-2008."
