Number,Citation,Country,Site,Continent,Vegetation.Description,Biome,Biome_type,Area.Sampled.km2,Method,Start_cover,End_cover,Total_cover_change,Start_year,End_year,Time_period,Annual.rate,Landuse,Species,Woody.functional.type,Species_Group,Latitude,Longitude,Rainfall,Temp,Causes,Drivers,Notes,MGC questions
8,"Hudak, Wessman, 2001",South Africa,"Madikwe, NW south africa",Africa,savanna,savanna,Savanna,,"Textural analysis, aerial photos and spot",18.4,24,5.6,1955,1996,41,0.136585366,cattle grazing,trees and shrubs,tree/shrub,Group,-25,26.03,,,,Fire suppression,Fire suppression associated with grazing,
8,"Hudak, Wessman, 2001",South Africa,"Madikwe, NW south africa",Africa,savanna,savanna,Savanna,,"Textural analysis, aerial photos and spot",18.4,24,5.6,1955,1996,41,0.136585366,cattle grazing,trees and shrubs,tree/shrub,Group,-25,26.03,,,,Increased grazing,Fire suppression associated with grazing,
9,"Mitchard et al, 2009",Cameroon,Central Cameroon,Africa,Mbam Djerem ational Park and surrounds to the N and E ,forest - savanna,Savanna,5400,"NDVI Landsat, envi",not recorded,not reported,20.33,1986,2006,20,1.0165,conservation and grazing,trees,forest trees,Group,6.02,12.81,1650,,"fire suppression, reduction in human pressureand potentially elevated co2",Fire suppression,Larget increae beteen 200-2006,
9,"Mitchard et al, 2009",Cameroon,Central Cameroon,Africa,Mbam Djerem ational Park and surrounds to the N and E ,forest - savanna,Savanna,5400,"NDVI Landsat, envi",not recorded,not reported,20.33,1986,2006,20,1.0165,conservation and grazing,trees,forest trees,Group,6.02,12.81,1650,,"fire suppression, reduction in human pressureand potentially elevated co2",Elevated CO2,Larget increae beteen 200-2006,
9,"Mitchard et al, 2009",Cameroon,Central Cameroon,Africa,Mbam Djerem ational Park and surrounds to the N and E ,forest - savanna,Savanna,5400,"NDVI Landsat, envi",not recorded,not reported,20.33,1986,2006,20,1.0165,conservation and grazing,trees,forest trees,Group,6.02,12.81,1650,,"fire suppression, reduction in human pressureand potentially elevated co2",Human pressure reduction,Larget increae beteen 200-2006,
10,"Guillet et al, 2001",Cameroon,eastern cameroon,Africa,Kandara savanna,forest - savanna,Savanna,4.39,"Aerial photos (backed by species studies and isotopes). 27% (1.18 kM2) of the Kandara savanna area in 1951-
 1952 (4.39 kM2) was invaded by forest over a period of 41 y, between 1952 and
 199",not recorded,not reported,27,1952,1993,41,0.658536585,,Albizia sp/albizia adinifolia (albizia patch coalescense initiates forest invasion),forest species -woody cover,Species,4.33,13.73,,,Fire suppression,Fire suppression,"Albizia thickets seem to initiate forest colonisation - then these species enter the Buffer zone (Chromolaena odorata, Pteridium aquilinum, Margaritaria discoidea (shrub) and young forest chacterised by Albizia adiantfolia, Canthium, Tabernamontana",
11,"Wigley et al, 2010",South Africa,"Northern zululand, kwazulu natal",Africa,Hluhluwe,savanna,Savanna,25,aerial photographs,14,58,44,1937,2004,67,0.656716418,conservation (with elephants),tree/shrub,tree/shrub,Group,-28.04,32.04,990,,elevated co2,Elevated CO2,,
12,"Wigley et al, 2010",South Africa,"Northern zululand, kwazulu natal",Africa,Hluhluwe,savanna,Savanna,26,aerial photographs,6,25,19,1937,2004,67,0.28358209,communal rangeland,tree/shrub,tree/shrub,Group,-28.03,32.14,800,,elevated co2,Elevated CO2,,
13,"Wigley et al, 2010",South Africa,"Northern zululand, kwazulu natal",Africa,Hluhluwe,savanna,Savanna,27,aerial photographs,3,50,47,1937,2004,67,0.701492537,commercial,tree/shrub,tree/shrub,Group,-28.02,32.21,800,,elevated co2,Elevated CO2,,
14,"Goetze et al, 2006",Guinea,Comoe National Park,Africa,"Guine-Sudan zone, ",forest - savanna,Savanna,550,aerial photos / spot - % fores patch dissapearance or gain,Not recorded,,-0.1,1954,1996,42,-0.002380952,conservation (mostly uninhabited with very few small settlements- elephants present,Anogeissus leiocarpus,forest/savann,Species,8.33,-3.25,1150,,na,NA,,
15,"Goetze et al, 2006",Guinea,Comoe National Park,Africa,"Guine-Sudan zone, ",forest - savanna,Savanna,650,aerial photos / spot - % fores patch dissapearance or gain,0.4,0.14,-26,1954,1996,42,-0.619047619,adajacent to conservation . Lightl popn communal,Anogeissus leiocarpus,forest/savann,Species,8.33,-3.25,1150,,deforestation,Deforestation,40% were deforested,
16,"Mapedza et al, 2002",Zimbabwe,"Mafungautsi Forest, ",Africa,Gokwe South District/Miombo,savanna,Savanna,na,aerial photos,68,71,3,1976,1996,20,0.15,conservation,trees,miombo,Group,-18.22,28.93,,,stable fire regieme and grazing remained stable over many years,NA,,
17,"Mapedza et al, 2002",Zimbabwe,"Mafungautsi Forest, ",Africa,Gokwe South District/Miombo,savanna,Savanna,na,aerial photos,51,14,-37,1976,1996,20,-1.85,communal rangeland,trees,miombo,Group,-18.22,28.93,,,degazetting of area and clearing of land for cultivation and homesteds,Land clearing,,
18,"Basset, Zueli, 2000",Ivory coast,,Africa,Kataili,savanna,Savanna,na,aerial photos (textuaral analysis),4,31,27,1956,1989,33,0.818181818,communal rangeland,"Isoberlina doka, Pilostigma thonningii, Acacia sieberanna, Daniella oliveri",tree/shrub,Group,9.75,-5.96,1150,,disturbance,Anthropogenic activities,,
19,"Basset, Zueli, 2000",Ivory coast,,Africa,Tabanga,savanna,Savanna,na,aerial photos (textuaral analysis),16,25,9,1956,1993,37,0.243243243,communal rangeland,"Isoberlina doka, Pilostigma thonningii, Acacia sieberanna, Daniella oliveri",tree/shrub,Group,9.33,-5.67,1150,,decline of population density,Human pressure reduction,,
20,"Britz, Ward, 2007",South Africa,Pniel Estates,Africa,Kimberly Thorn bushveld,savanna,Savanna,25,aerial photographs supervised classificiation,31.12,40,8.88,1957,1993,36,0.246666667,commercial,Acacia melifera,tree/shrub,Species,-28.5,24.68,388,,Soil texture/soil water and heavy land utilisation,Soil moisture,,
20,"Britz, Ward, 2007",South Africa,Pniel Estates,Africa,Kimberly Thorn bushveld,savanna,Savanna,25,aerial photographs supervised classificiation,31.12,40,8.88,1957,1993,36,0.246666667,commercial,Acacia melifera,tree/shrub,Species,-28.5,24.68,388,,Soil texture/soil water and heavy land utilisation,Land use intensification,,
20,"Britz, Ward, 2007",South Africa,Pniel Estates,Africa,Kimberly Thorn bushveld,savanna,Savanna,25,aerial photographs supervised classificiation,3.5,7.25,3.75,1957,1993,36,0.104166667,commercial,Acacia erioloba,tree/shrub,Species,-28.5,24.68,388,,Soil texture/soil water and heavy land utilisation,Soil moisture,,
20,"Britz, Ward, 2007",South Africa,Pniel Estates,Africa,Kimberly Thorn bushveld,savanna,Savanna,25,aerial photographs supervised classificiation,3.5,7.25,3.75,1957,1993,36,0.104166667,commercial,Acacia erioloba,tree/shrub,Species,-28.5,24.68,388,,Soil texture/soil water and heavy land utilisation,Land use intensification,,
20,"Britz, Ward, 2007",South Africa,Pniel Estates,Africa,Kimberly Thorn bushveld,savanna,Savanna,25,aerial photographs supervised classificiation,23,27.2,4.2,1957,1993,36,0.116666667,commercial,Grewia flava,tree/shrub,Species,-28.5,24.68,388,,Soil texture/soil water and heavy land utilisation,Soil moisture,,
20,"Britz, Ward, 2007",South Africa,Pniel Estates,Africa,Kimberly Thorn bushveld,savanna,Savanna,25,aerial photographs supervised classificiation,23,27.2,4.2,1957,1993,36,0.116666667,commercial,Grewia flava,tree/shrub,Species,-28.5,24.68,388,,Soil texture/soil water and heavy land utilisation,Land use intensification,,
21,"Gordijn et al, 2012",South Africa,"Magersfontein, Kimberly",Africa,,savanna,Savanna,13.4,aerial photographs (textural analysis),12,46,34,1943,2007,64,0.53125,conservation with elephants,"Berchemia zeyheri, A.karoo, Euclea crispa, Combretum apiculatum",tree/shrub,Group,-27.5,31.42,781,,"Large mammals avoiding unpalatable trees ,making them increase",Cattle exclusion,,
22,"Mapuare, Campbell, 2002 ",Zimbabwe,Sengwa Wildlife Research area,Africa,Miombo,savanna,Savanna,1.6,aerial photos (dot grid method),95.2,68.2,-27,1958,1996,38,-0.710526316,conservation with elephants,trees,miombo,Group,-28.23,18.12,642,,Elephants destroying vegetation and high fire frequenxies ,Fire increases,,
22,"Mapuare, Campbell, 2002 ",Zimbabwe,Sengwa Wildlife Research area,Africa,Miombo,savanna,Savanna,1.6,aerial photos (dot grid method),95.2,68.2,-27,1958,1996,38,-0.710526316,conservation with elephants,trees,miombo,Group,-28.23,18.12,642,,Elephants destroying vegetation and high fire frequenxies ,Herbivore interactions,,
23,"Mapuare, Campbell, 2002 ",Zimbabwe,Communal rangeland adjacent to Sengwa wildlife research area,Africa,Miombo,savanna,Savanna,0.32,aerial photos (dot grid method),97.6,75.3,-22.3,1958,1996,38,-0.586842105,communal,trees,miombo,Group,-28.23,18.12,642,,wood harvesting,Deforestation,,
24,"Puttick et al, 2011",South Africa,"Bathurst, E cape",Africa,Coastal belt and albany thicket,savanna,Savanna,30,aerial photos (grid overay 30x30m),40,55,15,1942,2004,62,0.241935484,commercial excluding old lands,Acacia karoo,thicket,Species,-33.5,26.82,720,,Reduction of grazing and harvesting allowed thicket recovery,Cattle exclusion,"1200 ha start, 1650 ha end, total area 3000 ha",
24,"Puttick et al, 2011",South Africa,"Bathurst, E cape",Africa,Coastal belt and albany thicket,savanna,Savanna,30,aerial photos (grid overay 30x30m),40,55,15,1942,2004,62,0.241935484,commercial excluding old lands,Acacia karoo,thicket,Species,-33.5,26.82,720,,Reduction of grazing and harvesting allowed thicket recovery,Human pressure reduction,"1200 ha start, 1650 ha end, total area 3000 ha",
25,"Grellier et al, 2012",South Africa,"Potshini village, KZN",Africa,Northern kzn-natal moist grassland,savanna,Savanna,2.5,aerial photos,0.5,9.5,9,1945,2009,64,0.140625,communal,Acacia sieberianna,trees,Species,-28.81,29.36,750,,Heavy cattle grazing,Increased grazing,,
26,"Prins & van der Jeugd, 1993",Tanzania,Lake Manyara National Park,Africa,Recorded for acacia tortilis savanna type,savanna,Savanna,na,aerial photos,24.9,45.6,20.7,1985,1991,6,3.45,conservation with elephants,Acacia tortilis,tree,Species,-3.5,35.75,na,,Bush establishment following the Rinderpest outbreak,Pathogens & invasive species,,
27,"Prins & van der Jeugd, 1993",Tanzania,Lake Manyara National Park,Africa,Caparais tormentosa  vegeration type,savanna,Savanna,na,aerial photos,53,64,11,1985,1991,6,1.833333333,conservation with elephants,Caparais tormentosa,all savanna,Species,-3.5,35.75,na,,Bush establishment following the Rinderpest outbreak,Pathogens & invasive species,,
28,"Prins & van der Jeugd, 1993",Tanzania,Lake Manyara National Park,Africa,Croton macrostachys - Acacia albida,savanna,Savanna,na,aerial photos,35.1,40.1,5,1985,1991,6,0.833333333,conservation with elephants,Croton macrostachys - Acacia albida,all savanna,Species,-3.5,35.75,na,,Bush establishment following the Rinderpest outbreak,Pathogens & invasive species,,
29,"Prins & van der Jeugd, 1993",Tanzania,Lake Manyara National Park,Africa,Croton macrostacyhs - Cordi africana,savanna,Savanna,na,aerial photos,56.4,57.4,1,1985,1991,6,0.166666667,conservation with elephants,Cordi africana,savanna,Species,-3.5,35.75,na,,Bush establishment following the Rinderpest outbreak,Pathogens & invasive species,,
29,"Prins & van der Jeugd, 1993",Tanzania,Lake Manyara National Park,Africa,Croton macrostacyhs - Phoenix reclinata,savanna,Savanna,na,aerial photos,27.8,32,4.2,1985,1991,6,0.7,conservation with elephants,Phoenix reclinata,savanna,Species,-3.5,35.75,na,,Bush establishment following the Rinderpest outbreak,Pathogens & invasive species,,
30,"Hoffman & O Connor, 2009",South Africa,Weenen and muden areas of Kzn,Africa,Open grassland with savanna valleys,savanna,Savanna,4,fixed point photos,21,59,38,1955,1998,43,0.88372093,communal,"Acacia tortilis (lower altitutdes), A karoo (eleva above 1000m)",all savanna,Species,-28.87,30.25,~610,,sustained heavy grazing and fire suppression,Increased grazing,,
30,"Hoffman & O Connor, 2009",South Africa,Weenen and muden areas of Kzn,Africa,Open grassland with savanna valleys,savanna,Savanna,4,fixed point photos,21,59,38,1955,1998,43,0.88372093,communal,"Acacia tortilis (lower altitutdes), A karoo (eleva above 1000m)",all savanna,Species,-28.87,30.25,~610,,sustained heavy grazing and fire suppression,Fire suppression,,
32,"Ward & Hoffmann, 2014",South Africa,"Paardenberg, N Cape",Africa,Kimberly Thorn bushveld,savanna,Savanna,3,fixed point photos,1,50,49,1900,2010,110,0.445454545,commercial,"Acacia tortilis, Acacia erioloba",savanna,Species,-28.98,25.09,420,,grazing heavy,Increased grazing,,
33,"Ward & Hoffmann, 2014",South Africa,"Belmont , N Cape ",Africa,Northern upper karoo,savanna,Savanna,2,fixed point photos,5,20,15,1899,2010,111,0.135135135,commercial,Acacia tortilis and Pentzi incana,karoo bushes savanna tree,Species,-29.42,24.37,290,,"Heavier rainfall, co2",Increased rainfall,,
33,"Ward & Hoffmann, 2014",South Africa,"Belmont , N Cape ",Africa,Northern upper karoo,savanna,Savanna,2,fixed point photos,5,20,15,1899,2010,111,0.135135135,commercial,Acacia tortilis and Pentzi incana,karoo bushes savanna tree,Species,-29.42,24.37,290,,"Heavier rainfall, co2",Elevated CO2,,
34,"Ward & Hoffmann, 2014",South Africa,Carters Ridge Memorial ,Africa,Kimberly Thorn bushveld,savanna,Savanna,3,fixed point photos,15,10,-5,1919,2010,91,-0.054945055,communal,A tortilis,savanna ,Species,-28.98,25.09,?,,"Heavier rainfall, co2, deforestation",Deforestation,,
34,"Ward & Hoffmann, 2014",South Africa,Carters Ridge Memorial ,Africa,Kimberly Thorn bushveld,savanna,Savanna,3,fixed point photos,15,10,-5,1919,2010,91,-0.054945055,communal,A tortilis,savanna ,Species,-28.98,25.09,?,,"Heavier rainfall, co2, deforestation",Increased rainfall,,
34,"Ward & Hoffmann, 2014",South Africa,Carters Ridge Memorial ,Africa,Kimberly Thorn bushveld,savanna,Savanna,3,fixed point photos,15,10,-5,1919,2010,91,-0.054945055,communal,A tortilis,savanna ,Species,-28.98,25.09,?,,"Heavier rainfall, co2, deforestation",Elevated CO2,,
35,"Ward & Hoffmann, 2014",South Africa,Schmidtsdrify Road,Africa,Kimberly Thorn bushveld,savanna,Savanna,3,fixed point photos,1.8,0.5,-1.3,1989,2010,21,-0.061904762,commercial,Acacia tortilis,savanna,Species,-28.69,24.63,400,,,NA,,
36,"Russel  Ward, 2014",South Africa,Fugitives Drift 35 km SE Dundee,Africa,Thukela Thornveld,savanna,Savanna,0.77,aerial photo,38,74,36,1944,2005,61,0.590163934,conservation no elephnts,"Acacia karoo,",savanna,Species,-28.23,30.36,942,,Elevated co2,Elevated CO2,"encroachment in1900-1953,  with strady increase thereafter",
37,"Russel  Ward, 2014",South Africa,Islandwana,Africa,KZN Highland Grassland,savanna,Savanna,1.08,aerial photo,0,2,2,1944,2005,61,0.032786885,conservation no elephnts,Acacia sp,tree,Species,-28.21,30.39,na,,Elevated co2,Elevated CO2,,
38,"Russel  Ward, 2014",South Africa,KZN Highland thornveld,Africa,Rorkes Drift,savanna,Savanna,2.31,aerial photo,4,20,16,1944,2005,61,0.262295082,communal,"Euclea crispa, A. sieberana",tree/shrub,Species,-28.21,30.32,na,,Elevated co2,Elevated CO2,,
39,"Russel  Ward, 2014",South Africa,KZN Highland thornveld,Africa,Rorkes Drift,savanna,Savanna,1.42,aerial photo,0,9,9,1944,2005,61,0.147540984,commercial,Acacia sp,tree/shrub,Species,-28.21,30.32,na,,Elevated co2,Elevated CO2,,
40,"RusseL, Ward 2014b",South Africa,KZN Highland thornveld,Africa,northern KZN,savanna,Savanna,2,fixed point photos,6,36.5,30.5,1879,2011,132,0.231060606,commercial/communal,"Acacia karoo, Diospyrus spp, Euclea crispa, Vitex rehmannii, Acacia sieberanna",tree/shrub,Group,-28.1,30.24,705,,Elevated co2,Elevated CO2,average start and end values from all sites,
41,Mosulgelo et al 2002,Botswana,Chobe National Park,Africa,Chobe savanna,savanna ,Savanna,2,aerial photo,60,30,-30,1962,1998,36,-0.833333333,conservation with elephants,woodland vegetation,trees only,Group,-18.8,24.36,650,,elephant destroying trees and drought,Herbivore interactions,escalation of tree incerases since 1985,
41,Mosulgelo et al 2002,Botswana,Chobe National Park,Africa,Chobe savanna,savanna ,Savanna,2,aerial photo,60,30,-30,1962,1998,36,-0.833333333,conservation with elephants,woodland vegetation,trees only,Group,-18.8,24.36,650,,elephant destroying trees and drought,Droughts,escalation of tree incerases since 1985,
42,Mosulgelo et al 2002,Botswana,Chobe National Park,Africa,Chobe savanna,savanna ,Savanna,2,aerial photo,5,33,28,1962,1998,36,0.777777778,conservation with elephants,shrubland vegetation,shrubs only,Group,-18.8,24.36,650,,increased rainfall,Increased rainfall,escalation of tree incerases since 1985,
43,"Van der Vijver  et al, 1999",Tanzania,Taragire National Park,Africa,microphyll savanna,savanna ,Savanna,0.6,PCQ ,24,10,-14,1971,1996,25,-0.56,conservation with elephants,trees and shrubs,trees/shrubs,Group,-4,36.42,620,,elephant damage,Herbivore interactions,,
44,"Van der Vijver  et al, 1999",Tanzania,Taragire National Park,Africa,deciduous savanna,savanna ,Savanna,0.6,PCQ ,17,12,-5,1971,1996,25,-0.2,conservation with elephants,trrees and shrubs,trees/shrubs,Group,-4,36.42,620,,elephant damage,Herbivore interactions,,
45,Tafengenyasha,Zimbabwe,Gonarezhou National Park,Africa,Mopane/brachystegia/ savanna,savanna,Savanna,49,Fixed point,not recorded,not recorded,-16,1970,1984,14,-1.142857143,conservation with elephants,"Androstachys jonsonii, C.mopane",Large trees only,Species,-21.75,33.38,~620,,elephant,Herbivore interactions,biggest decrease between 77-83 when elephant density increased,
46,"Rohde, Hoffman 2012",namibia,Nama karoo ,Africa,Tree and shrub savanna,savanna,Savanna,10,Fixed point,14.7,20.29,5.59,1876,2009,133,0.042,communal,Acacia melifera,trees shrub cover,Species,-24,18,310,,multi - elevated c02,Elevated CO2,,
47,"Rohde, Hoffman 2012",namibia,Nama karoo ,Africa,Tree and shrub savanna,savanna,Savanna,10,fixed point,8.9,23.14,14.24,1876,2009,133,0.107067669,commercial,"Acacia erubescens, A. tortilis, Dichrostachys cineria",trees shrub cover,Group,-22,17,342,,,NA,,
48,"Puttick et al, 2014a",South Africa,Fort Beaufort,Africa,Bedford dry grassland and eastern cape escarpment thicket,savanna,Savanna,30,aerial photos (grid overay 30x30m),not recorded,not recorded,5,1949,2004,55,0.090909091,communal,Acacia karoo,treee shub,Species,-32.77,26.63,500,,"land use and land tenue, BE is being ameliorated by harvesting and goats",Land use intensification,most signifcant increase between 49-1985,
48,"Puttick et al, 2014a",South Africa,Fort Beaufort,Africa,Bedford dry grassland and eastern cape escarpment thicket,savanna,Savanna,30,aerial photos (grid overay 30x30m),not recorded,not recorded,5,1949,2004,55,0.090909091,communal,Acacia karoo,treee shub,Species,-32.77,26.63,500,,"land use and land tenue, BE is being ameliorated by harvesting and goats",Anthropogenic activities,most signifcant increase between 49-1985,
50,"Puttick et al, 2014a",South Africa,Fort Beaufort,Africa,Bedford dry grassland and eastern cape escarpment thicket,savanna,Savanna,30,aerial photos (grid overay 30x30m),not recorded,not recorded,36,1949,2004,55,0.654545455,commercial,closed woodland,treee shub,Group,-32.77,26.63,500,,"land use and land tenue, BE is being ameliorated by harvesting and goats",Land use intensification,,
50,"Puttick et al, 2014a",South Africa,Fort Beaufort,Africa,Bedford dry grassland and eastern cape escarpment thicket,savanna,Savanna,30,aerial photos (grid overay 30x30m),not recorded,not recorded,36,1949,2004,55,0.654545455,commercial,closed woodland,treee shub,Group,-32.77,26.63,500,,"land use and land tenue, BE is being ameliorated by harvesting and goats",Anthropogenic activities,,
51,Puttick et al 2014b,South Africa,Grahamstown,Africa,"Bisho thornveld, Albany broken thicketm Kowie Thicket",savanna,Savanna,8.74,aerial photos (grid overay 30x30m),7.93,9.45,1.51,1942,2004,62,0.024428674,communal,Acacia karoo,thicket,Species,-33.3,26.54,670,,"land use and land tenue, BE is being ameliorated by harvesting and goats",Land use intensification,"biggest increase bbetween 1942-1985, decline from 1985-2004 // MGC: area has been calculated by adding the old and new commonage (1007 + 4275 ha) = 5282 ha. Initial cover: 419 ha, final cover 699 ha, in percents divided by the total area",
51,Puttick et al 2014b,South Africa,Grahamstown,Africa,"Bisho thornveld, Albany broken thicketm Kowie Thicket",savanna,Savanna,8.74,aerial photos (grid overay 30x30m),7.93,9.45,1.51,1942,2004,62,0.024428674,communal,Acacia karoo,thicket,Species,-33.3,26.54,670,,"land use and land tenue, BE is being ameliorated by harvesting and goats",Anthropogenic activities,"biggest increase bbetween 1942-1985, decline from 1985-2004 // MGC: area has been calculated by adding the old and new commonage (1007 + 4275 ha) = 5282 ha. Initial cover: 419 ha, final cover 699 ha, in percents divided by the total area",
52,O'Connor 2001,South Africa,Venetia Limpopo Nature Reserve,Africa,Mopane veld,savanna,Savanna,5,aerial photos,8,37,29,1955,1987,32,0.90625,conservation with elephants,Acacia tortilis,"tree and srub, woody cover",Species,-22.38,29.3,377,,river flow reduction and livestock grazing,River flow reduction,,
52,O'Connor 2001,South Africa,Venetia Limpopo Nature Reserve,Africa,Mopane veld,savanna,Savanna,5,aerial photos,8,37,29,1955,1987,32,0.90625,conservation with elephants,Acacia tortilis,"tree and srub, woody cover",Species,-22.38,29.3,377,,river flow reduction and livestock grazing,Increased grazing,,
53,"Kakembo, 1999",South Africa,"Peddie District, Eastern cape",Africa,Eastern Province thornveld and valley bushveld (in valleys),savanna,Savanna,na,erial photos,47,64,17,1938,1988,50,0.34,commercial,Acacia karoo,oopen woodland/ tree shrub,Species,-33.12,27.2,488,,land tenure,Anthropogenic activities,Pteronia incana invating (not in these sites),
54,"Eckhardt et al, 2000",South Africa,Kruger National Park,Africa,Combretum/Terminalia woodland (granite transects),savanna granite,Savanna,6.75,aerial photographs,19.7,22.1,2.4,1940,1998,58,0.04137931,conservation with elephant,"Combretum apiculatum, Terminalia sericea",woody cover,Species,-24.59,31.83,,,overgrazing by herbivores due to surface water provision,Increased grazing,,
55,"Eckhardt et al, 2000",South Africa,Kruger National Park,Africa,Acacia ni. Schlerrocarya birrea woodland (basalt transects),savanna basalt,Savanna,6.75,aerial photographs,11.9,4.3,-7.6,1940,1998,58,-0.131034483,conservation with elephants,"Acacia nigrescens, Sclerocarya birrea",woody cover,Species,-24.59,31.83,,,"shortened fire retuen periods, elephant",Fire increases,,
55,"Eckhardt et al, 2000",South Africa,Kruger National Park,Africa,Acacia ni. Schlerrocarya birrea woodland (basalt transects),savanna basalt,Savanna,6.75,aerial photographs,11.9,4.3,-7.6,1940,1998,58,-0.131034483,conservation with elephants,"Acacia nigrescens, Sclerocarya birrea",woody cover,Species,-24.59,31.83,,,"shortened fire retuen periods, elephant",Herbivore interactions,,
57,"Levick, Rogers, 2011",South Africa,Kruger National Park,Africa,granites (sand),savanna,Savanna,100,aerial photographs,27,32,5,1942,2001,59,0.084745763,conservation with elephants,Colophospermum mopane and Combretum apiculatum,woody cover,Species,-22.99,31.28,,,low fire return intervals,Fire increases,increase in shrubs,
58,"Levick, Rogers, 2011",South Africa,Kruger National Park,Africa,basalts (clay),savanna,Savanna,100,aerial photographs,26,33,7,1942,2001,59,0.118644068,conservation with elephants,Colophospermum mopane,woody cover,Species,-23.12,31.46,,,heavy grazing reduced fire,Increased grazing,increase in shrubs,
58,"Levick, Rogers, 2011",South Africa,Kruger National Park,Africa,basalts (clay),savanna,Savanna,100,aerial photographs,26,33,7,1942,2001,59,0.118644068,conservation with elephants,Colophospermum mopane,woody cover,Species,-23.12,31.46,,,heavy grazing reduced fire,Fire suppression,increase in shrubs,
