"","Biome_type","Country","Site","Latitude","Longitude","Citation","Species","Species_Group","Time_period","Start_year","End_year","Start_cover","End_cover","Total_cover_change","Annual.rate","Method","Plot.ID","Continent","Trend","Biome_trend"
"15","Tundra","USA","Arctic Alaska, Anaktuvuk R. (S)",68.95,-151.2,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"16","18",2,0.037037037,"Repeat photograph, dendroecology","t11","North America","Increase","Tundra_increase"
"16","Tundra","USA","Arctic Alaska, Anaktuvuk R. (N)",69.03,-151.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"15","18",3,0.055555556,"Repeat photograph, dendroecology","t12","North America","Increase","Tundra_increase"
"17","Tundra","USA","Arctic Alaska, Ayiyak",68.9,-152.5,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"7","8",1,0.018518519,"Repeat photograph, dendroecology","t13","North America","Increase","Tundra_increase"
"18","Tundra","USA","Arctic Alaska, Chandler",68.95,-151.9,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"28","38",10,0.185185185,"Repeat photograph, dendroecology","t14","North America","Increase","Tundra_increase"
"19","Tundra","USA","Arctic Alaska, Colville R (W)",68.87,-156.7,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"5","9",4,0.074074074,"Repeat photograph, dendroecology","t15","North America","Increase","Tundra_increase"
"20","Tundra","USA","Arctic Alaska, Colville R",68.95,-155.93,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"18","23",5,0.092592593,"Repeat photograph, dendroecology","t16","North America","Increase","Tundra_increase"
"21","Tundra","USA","Arctic Alaska, Colville R €",69.33,-152.35,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"22","28",6,0.111111111,"Repeat photograph, dendroecology","t17","North America","Increase","Tundra_increase"
"22","Tundra","USA","Arctic Alaska, Kurupa",68.9,-155.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"10","15",5,0.092592593,"Repeat photograph, dendroecology","t18","North America","Increase","Tundra_increase"
"23","Tundra","USA","Arctic Alaska, Lupine",69.08,-148.8,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"6.7","6.9",0.2,0.003703704,"Repeat photograph, dendroecology","t19","North America","Stable","Tundra_stable"
"24","Tundra","USA","Arctic Alaska, Nanushuk R (S)",68.7,-150.6,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"22","26",4,0.074074074,"Repeat photograph, dendroecology","t20","North America","Increase","Tundra_increase"
"25","Tundra","USA","Arctic Alaska, Nanushuk R (N)",69.1,-150.8,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"17","20",3,0.055555556,"Repeat photograph, dendroecology","t21","North America","Increase","Tundra_increase"
"26","Tundra","USA","Arctic Alaska, Nigu",68.4,-156.4,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"8","9",1,0.018518519,"Repeat photograph, dendroecology","t22","North America","Increase","Tundra_increase"
"27","Tundra","USA","Arctic Alaska, Nimiuktuk",68.2,-159.9,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"13","18",5,0.092592593,"Repeat photograph, dendroecology","t23","North America","Increase","Tundra_increase"
"28","Tundra","USA","Arctic Alaska, Oolamnagavik",68.8,-154.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"8","13",5,0.092592593,"Repeat photograph, dendroecology","t24","North America","Increase","Tundra_increase"
"29","Tundra","USA","Arctic Alaska, Sagavanirktok",69.4,-148.6,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"8","13",5,0.092592593,"Repeat photograph, dendroecology","t25","North America","Increase","Tundra_increase"
"30","Tundra","USA","Arctic Alaska, Utukok",69,-161.06,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,NA,NA,0,0,"Repeat photograph, dendroecology","t26","North America","Stable","Tundra_stable"
"31","Tundra","USA","Arctic National Wildlife Refuge, Alaska",69.8,-144.25,"Pattison et al. 2015","deciduous shrubs","Group",25,1984,2009,"45","45",0,0,"Ecological monitoring","t27","North America","Stable","Tundra_stable"
"32","Tundra","USA","Arctic National Wildlife Refuge, Alaska",69.8,-144.25,"Pattison et al. 2015","evergreen shrubs","Group",25,1984,2009,"45","45",0,0,"Ecological monitoring","t28","North America","Stable","Tundra_stable"
"33","Tundra","USA","Arctic National Wildlife Refuge, Alaska",69.8,-144.25,"Jorgenson et al. 2015","deciduous shrubs","Group",25,1984,2009,"19","16",-3,-0.12,"Ecological monitoring","t29","North America","Decrease","Tundra_decrease"
"34","Tundra","USA","Arctic National Wildlife Refuge, Alaska",69.8,-144.25,"Jorgenson et al. 2015","evergreen shrubs","Group",25,1984,2009,"19","19",0,0,"Ecological monitoring","t30","North America","Stable","Tundra_stable"
"35","Tundra","Canada","Arctic, NWT, Tuktoyatkut Coastal Plain",69.25,-132.5,"Fraser et al. 2014","tall shrubs and erect dwarf shrubs","Group",33,1980,2013,NA,NA,20,0.606060606,"Repeat photography","t31","North America","Increase","Tundra_increase"
"37","Tundra","USA","Ayiyak, Alaska",68.91,-152.47,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"27.13","38.34",11.21,0.3503125,"Repeat photography","t32","North America","Increase","Tundra_increase"
"38","Tundra","USA","Barrow, Alaska",71.3,-156.67,"Villarreal et al. 2012","Salix pulchra","Species",38,1972,2010,NA,NA,1.4,0.036842105,"Ecological monitoring","t33","North America","Increase","Tundra_increase"
"39","Tundra","USA","Barrow, Alaska",71.3,-156.67,"Villarreal et al. 2012","Salix rotundifolia","Species",38,1972,2010,NA,NA,-1,-0.026315789,"Ecological monitoring","t34","North America","Decrease","Tundra_decrease"
"40","Tundra","USA","Barrow, Alaska",71.3,-156.67,"Villarreal et al. 2012","Cassiope tetragona","Species",38,1972,2010,NA,NA,-0.6,-0.015789474,"Ecological monitoring","t35","North America","Decrease","Tundra_decrease"
"41","Tundra","USA","Barrow, Alaska",71.3,-156.67,"Villarreal et al. 2012","shrub functional group (Salix pulchra, Salix rotundifolia, Cassiope tetragona, etc.)","Group",38,1972,2010,NA,NA,0,0,"Ecological monitoring","t36","North America","Stable","Tundra_stable"
"42","Tundra","Canada","Boniface River research station, Nunavik, Quebec, Canada",57.75,-76.33,"Ropars & Boudreau 2012","Betula glandulosa","Species",51,1957,2008,"31.95","48.55",16.6,0.325490196,"Repeat photography, satellite imagery","t37","North America","Increase","Tundra_increase"
"45","Tundra","USA","Brooks Range, Alaska",68.67,-155.93,"Tape et al. 2012","shrub deciduos","Group",50,1950,2008,NA,"24.9",0,0,"Repeat photography, Dendrochronology","t38","North America","Stable","Tundra_stable"
"47","Tundra","USA","Brooks Range, Alaska",68.67,-155.93,"Tape et al. 2012","shrub evergreen","Group",50,1950,2008,NA,"14.7",0,0,"Repeat photography, Dendrochronology","t39","North America","Stable","Tundra_stable"
"48","Tundra","USA","Chandler, Alaska",69.01,-151.93,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"30.29","39.78",9.49,0.2965625,"Repeat photography","t40","North America","Increase","Tundra_increase"
"49","Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Evergreen shrubs","Group",20,1987,2007,"5","8",3,0.15,"Ecological monitoring","t41","Europe","Increase","Tundra_increase"
"50","Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Deciduous shrubs","Group",20,1987,2007,"15","25",10,0.5,"Ecological monitoring","t42","Europe","Increase","Tundra_increase"
"51","Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Vaccinium myrtillus","Species",20,1987,2007,"1","2",1,0.05,"Ecological monitoring","t43","Europe","Increase","Tundra_increase"
"52","Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Vaccinium uliginosum","Species",20,1987,2007,"1","3",2,0.1,"Ecological monitoring","t44","Europe","Increase","Tundra_increase"
"53","Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Betula nana","Species",20,1987,2007,"4","2",-2,-0.1,"Ecological monitoring","t45","Europe","Decrease","Tundra_decrease"
"54","Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Empetrum hermaphroditum","Species",20,1987,2007,"1","1.5",0.5,0.025,"Ecological monitoring","t46","Europe","Increase","Tundra_increase"
"55","Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Salix herbacea","Species",20,1987,2007,"6","7.5",1.5,0.075,"Ecological monitoring","t47","Europe","Increase","Tundra_increase"
"56","Tundra","USA","Colville, Alaska",68.95,-155.96,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",33,1975,2008,"24.56","33.12",8.56,0.259393939,"Repeat photography","t48","North America","Increase","Tundra_increase"
"58","Tundra","Canada","Deception Bay, Nunavik, Quebec",62.14,-74.7,"Plante et al. 2014","Tall shrub: Betula glandulosa Michx., Salix glauca L., S. planifolia, Pursh and S. alaxensis, and prostrate shrubs such as Vaccinium uliginosum L., V. vitis-idaea L., and Cassiope tetragona","Group",38,1972,2010,"7.3","6.1",-1.2,-0.031578947,"Repeat photography","t49","North America","Decrease","Tundra_decrease"
"59","Tundra","Russia","Dudinka, Russian Arctic",69.61,86.53,"Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",43,1966,2009,"25.02","31.5",6.48,0.150697674,"Repeat photography, satellite imagery","t50","Asia","Increase","Tundra_increase"
"60","Tundra","Switzerland","European Alps, Multiple sites",46.77,9.87,"Cannone et al. 2007","Shrubs","Group",50,1953,2003,NA,NA,9.4,0.188,"Ecological monitoring","t51","Europe","Increase","Tundra_increase"
"61","Tundra","Russia","Hatanga, Russian Arctic",72.16,102.68,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",43,1966,2009,"5.5","5.79",0.29,0.006744186,"Repeat photography, satellite imagery","t52","Asia","Stable","Tundra_stable"
"64","Tundra","Canada","Kangiqsualujjuaq, Northern Québec",58.71,-66,"Tremblay et al. 2012","Betula glandulosa","Species",39,1964,2003,"34","44",10,0.256410256,"Repeat photography","t53","North America","Increase","Tundra_increase"
"65","Tundra","USA","Kenai Peninsula, Southcentral Alaska",60.56,-151.24,"Dial et al. 2007","Alnus spp.","Species",45,1951,1996,"28","33",5,0.111111111,"Repeat photography","t54","North America","Increase","Tundra_increase"
"66","Tundra","Russia","Kharp, Russian Arctic",66.84,65.99,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",42,1968,2010,"11.5","12.43",0.93,0.022142857,"Repeat photography, satellite imagery","t55","Asia","Increase","Tundra_increase"
"67","Tundra","USA","Killik, Alaska",68.37,-154.02,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"14.11","20.61",6.5,0.203125,"Repeat photography","t56","North America","Increase","Tundra_increase"
"69","Tundra","Canada","Kluane Region (Pika valley), Yukon",61.11,-138.16,"Myers-Smith and Hik 2017","Salix pulchra, Salix richardsonii, Salix glauca, Salix niphoclada, Salix alaxsensis, Salix barrattiana","Group",30,2009,2013,NA,NA,NA,0.5,"Dendroecology","t57","North America","Increase","Tundra_increase"
"70","Tundra","Russia","Kolyma, Russian Arctic",68.93,161.36,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",38,1965,2003,"6.75","7.52",0.77,0.020263158,"Repeat photography, satellite imagery","t58","Asia","Increase","Tundra_increase"
"71","Tundra","USA","Kurupa, Alaska",68.93,-155.08,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"17.3","32.01",14.71,0.4596875,"Repeat photography","t59","North America","Increase","Tundra_increase"
"74","Tundra","Canada","Mackenzie Delta Region, NWT ",68.75,-133.75,"Lantz et al. 2009, Lantz et al. 2010","Alnus viridis subsp. fruticosa","Species",32,1972,2004,NA,NA,NA,1.1,"Repeat photography","t60","North America","Increase","Tundra_increase"
"75","Tundra","Canada","Nakvak Brook, Torngat Mt. NP, Nunatsiavut",58.63,-63.35,"Upshall 2011","deciduous shrubs","Group",23,1985,2008,"7.14","8.02",0.88,0.03826087,"Repeat photography","t61","North America","Increase","Tundra_increase"
"76","Tundra","USA","Nanushuk 1, Alaska",69.15,-150.88,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",54,1955,2009,"30.66","46.32",15.66,0.29,"Repeat photography","t62","North America","Increase","Tundra_increase"
"77","Tundra","USA","Nanushuk 2, Alaska",69.12,-150.86,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",54,1955,2009,"33.9","60.85",26.95,0.499074074,"Repeat photography","t63","North America","Increase","Tundra_increase"
"79","Tundra","USA","Nigu, Alaska",68.43,-156.42,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",31,1977,2008,"25.45","31.18",5.73,0.18483871,"Repeat photography","t64","North America","Increase","Tundra_increase"
"80","Tundra","USA","Nimiuktuk, Alaska",68.39,-159.85,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"27.35","34.76",7.41,0.2315625,"Repeat photography","t65","North America","Increase","Tundra_increase"
"81","Tundra","USA","Niwot Ridge, Colorado",40.05,-105.58,"Formica et al. 2014","tall willows: Salix planifolia and Salix glauca","Group",62,1946,2008,"0.24","1.29",1.05,0.016935484,"Repeat photography","t66","North America","Increase","Tundra_increase"
"83","Tundra","Russia","Obskaya, Russian Arctic",66.92,65.59,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",43,1968,2011,"8.22","9.93",1.71,0.039767442,"Repeat photography, satellite imagery","t67","Asia","Increase","Tundra_increase"
"85","Tundra","Russia","Pekulney, Russian Arctic",65.39,174.2,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",41,1969,2010,"16.87","17.9",1.03,0.025121951,"Repeat photography, satellite imagery","t68","Asia","Increase","Tundra_increase"
"86","Tundra","Canada","Qikiqtaruk-Herschel Island, Yukon",69.57,-138.91,"Myers-Smith et al. 2011","Salix richardsonii","Species",59,1950,2009,"0","22",22,0.372881356,"Repeat photograph, dendroecology, ecological monitoring","t69","North America","Increase","Tundra_increase"
"87","Tundra","Canada","Qikiqtaruk-Herschel Island, Yukon",69.57,-138.91,"Myers-Smith et al. 2011","Salix pulchra","Species",89,1920,2009,"0","30",30,0.337078652,"Repeat photograph, dendroecology, ecological monitoring","t70","North America","Increase","Tundra_increase"
"88","Tundra","Canada","Qikiqtaruk-Herschel Island, Yukon",69.57,-138.91,"Myers-Smith et al. 2011","Salix glauca","Species",59,1950,2009,"0","25",25,0.423728814,"Repeat photograph, dendroecology, ecological monitoring","t71","North America","Increase","Tundra_increase"
"90","Tundra","USA","Seward Peninsula, Alaska",64.85,-163.7,"Joly et al. 2007","Dwarf shrubs","Group",24,1981,2005,"24.8","32.8",8,0.333333333,"Ecological monitoring","t72","North America","Increase","Tundra_increase"
"91","Tundra","Canada","Site 1, Arctic NWT",69.03,-133.37,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"58.2","72.4",14.2,0.44375,"Repeat photography","t73","North America","Increase","Tundra_increase"
"92","Tundra","Canada","Site 10, Arctic NWT",68.65,-133.73,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"18.7","38.7",20,0.625,"Repeat photography","t74","North America","Increase","Tundra_increase"
"93","Tundra","Canada","Site 11, Arctic NWT",68.68,-133.7,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"16.5","28.4",11.9,0.371875,"Repeat photography","t75","North America","Increase","Tundra_increase"
"94","Tundra","Canada","Site 2, Arctic NWT",69.07,-133.4,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"68.7","83.9",15.2,0.475,"Repeat photography","t76","North America","Increase","Tundra_increase"
"95","Tundra","Canada","Site 3, Arctic NWT",69.05,-133.36,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"56.3","65.6",9.3,0.290625,"Repeat photography","t77","North America","Increase","Tundra_increase"
"96","Tundra","Canada","Site 4, Arctic NWT",69.03,-133.43,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"71.4","94.3",22.9,0.715625,"Repeat photography","t78","North America","Increase","Tundra_increase"
"97","Tundra","Canada","Site 5, Arctic NWT",69.01,-133.5,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"58.7","80.6",21.9,0.684375,"Repeat photography","t79","North America","Increase","Tundra_increase"
"98","Tundra","Canada","Site 6, Arctic NWT",68.6,-133.64,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"74.7","89.4",14.7,0.459375,"Repeat photography","t80","North America","Increase","Tundra_increase"
"99","Tundra","Canada","Site 7, Arctic NWT",68.59,-133.65,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"35.5","61.4",25.9,0.809375,"Repeat photography","t81","North America","Increase","Tundra_increase"
"100","Tundra","Canada","Site 8, Arctic NWT",68.54,-133.66,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"86","95.2",9.2,0.2875,"Repeat photography","t82","North America","Increase","Tundra_increase"
"101","Tundra","Canada","Site 9, Arctic NWT",68.56,-133.67,"Lantz et al. 2013","Tall shrubs (Alnus viridis subsp. Fruticosa, B. glandulosa, S. glauca and S. pulchra)","Group",32,1972,2004,"89.8","98.5",8.7,0.271875,"Repeat photography","t83","North America","Increase","Tundra_increase"
"104","Tundra","Canada","Sverdrup Pass, Ellesmere Island, Nunavut (SV)",79.13,-79.73,"Boulanger-Lapointe et al. 2014","Salix arctica","Species",23,1986,2009,"16","17",1,0.043478261,"Dendroecology, Ecological monitoring, Repeat photography","t84","North America","Increase","Tundra_increase"
"105","Tundra","Canada","Sverdrup Pass, Ellesmere Island, Nunavut (SP)",79.13,-79.73,"Boulanger-Lapointe et al. 2014","Salix arctica","Species",12,1997,2009,"4","1",-3,-0.25,"Dendroecology, Ecological monitoring, Repeat photography","t85","North America","Decrease","Tundra_decrease"
"106","Tundra","Canada","Sverdrup Pass, Ellesmere Island, Nunavut (SG)",79.13,-79.73,"Boulanger-Lapointe et al. 2014","Salix arctica","Species",5,2004,2009,"2","10",8,1.6,"Dendroecology, Ecological monitoring, Repeat photography","t86","North America","Increase","Tundra_increase"
"107","Tundra","Russia","Tanlova, Russian Arctic",67.53,69.67,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",43,1968,2011,"7.74","9.24",1.5,0.034883721,"Repeat photography, satellite imagery","t87","Asia","Increase","Tundra_increase"
"108","Tundra","Greenland","Tasiilaq, Southeast Greenland",65.62,-37.67,"Daniëls et al. 2011","Salix glauca ssp. Callicarpaea","Species",40,1967,2007,NA,NA,0,0,"Ecological monitoring","t88","North America","Stable","Tundra_stable"
"109","Tundra","Greenland","Tasiilaq, Southeast Greenland",65.62,-37.67,"Daniëls et al. 2011","Thymus praecox ssp. Arcticus","Species",40,1967,2007,NA,NA,0,0,"Ecological monitoring","t89","North America","Stable","Tundra_stable"
"110","Tundra","Greenland","Tasiilaq, Southeast Greenland",65.62,-37.67,"Daniëls et al. 2011","Loiseleuria procumbens","Species",40,1967,2007,NA,NA,0,0,"Ecological monitoring","t90","North America","Stable","Tundra_stable"
"111","Tundra","Russia","Taz, Russian Arctic",67.23,74.04,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",42,1968,2010,"17.59","18.5",0.91,0.021666667,"Repeat photography, satellite imagery","t91","Asia","Increase","Tundra_increase"
"112","Tundra","Russia","Uyandi, Russian Arctic",69.45,141.65,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",44,1966,2010,"0.03","0.03",0,0,"Repeat photography, satellite imagery","t92","Asia","Stable","Tundra_stable"
"113","Tundra","Russia","Velikaya, Russian Arctic",63.73,175.1,"Frost et al. 2013, Frost & Epstein 2014","Alnus viridis ssp. fruticosa","Species",40,1969,2009,"22.35","22.17",-0.18,-0.0045,"Repeat photography, satellite imagery","t93","Asia","Stable","Tundra_stable"
"116","Tundra","Greenland","Zackenberg, Northeast Greenland",74.28,-21.33,"Schmidt et al. 2012","Shrubs (Cassiope tetragona, Dryas sp, Salix arctica, Vaccninium uliginosum)","Group",11,1997,2008,NA,NA,-0.02,-0.001818182,"Ecological monitoring","t94","North America","Stable","Tundra_stable"
"118","Tundra","Svalbard","Ny Alesund, Svalbard",78.93,11.83,"Robinson et al. 1998","Dryas octopetala","Species",4,1991,1995,"23.5","32.5",9,2.25,"Ecological monitoring","t95","Europe","Increase","Tundra_increase"
"119","Tundra","Svalbard","Ny Alesund, Svalbard",78.93,11.83,"Robinson et al. 1998","Salix polaris","Species",4,1991,1995,"0.3","0.4",0.1,0.025,"Ecological monitoring","t96","Europe","Increase","Tundra_increase"
"120","Tundra","Sweden","Latnjajaure, Lapland, Sweden",68.35,18.5,"Molau 2010","Vaccinium vitis-idaea","Species",11,1995,2006,"0.7","6.7",6,0.545454545,"Ecological monitoring","t97","Europe","Increase","Tundra_increase"
"121","Tundra","Greenland","Disko Island, Greenland",69.255,-53.52,"Callaghan et al. 2011","Salix glauca ssp. Calicarpea","Species",42,1967,2009,NA,NA,-1,-0.023809524,"Ecological monitoring","t98","North America","Decrease","Tundra_decrease"
"122","Tundra","Greenland","Disko Island, Greenland",69.255,-53.52,"Callaghan et al. 2011","Betula nana","Species",42,1967,2009,"0","2.5",2.5,0.05952381,"Ecological monitoring","t99","North America","Increase","Tundra_increase"
"123","Tundra","Greenland","Disko Island, Greenland",69.255,-53.52,"Callaghan et al. 2011","Diapensia lapponica","Species",42,1967,2009,"0","2.5",2.5,0.05952381,"Ecological monitoring","t100","North America","Increase","Tundra_increase"
"124","Tundra","Greenland","Disko Island, Greenland",69.255,-53.52,"Callaghan et al. 2011","Dryas integrifolia","Species",42,1967,2009,NA,NA,7,0.166666667,"Ecological monitoring","t101","North America","Increase","Tundra_increase"
"125","Tundra","Greenland","Disko Island, Greenland",69.255,-53.52,"Callaghan et al. 2011","Vaccinium uliginosum","Species",42,1967,2009,NA,NA,10,0.238095238,"Ecological monitoring","t102","North America","Increase","Tundra_increase"
"126","Tundra","Greenland","Disko Island, Greenland",69.255,-53.52,"Callaghan et al. 2011","Vaccinium uligonosum ssp.","Species",42,1967,2009,NA,NA,1,0.023809524,"Ecological monitoring","t103","North America","Increase","Tundra_increase"
